Timestamp,From Bank,Sender_Account,To Bank,Receiver_Account,Amount Received,Receiving Currency,Amount Paid,Payment Currency,Payment Format,Is Laundering,Predicted
2022/09/01 00:20,70,100428660,16788,80B5CF660,2160.1,US Dollar,2160.1,US Dollar,Cheque,0,1
2022/09/01 00:01,34102,80C271F30,122151,80C26D820,12508.51,US Dollar,12508.51,US Dollar,ACH,0,1
2022/09/01 00:24,1729,80059C150,29404,80C3F5170,15200.77,US Dollar,15200.77,US Dollar,ACH,0,1
2022/09/01 00:03,701,8006B89A0,125699,80C58C7E0,117459.71,US Dollar,117459.71,US Dollar,ACH,0,1
2022/09/01 00:01,136651,80DA3FE00,16535,80DA3FEF0,3354.29,US Dollar,3354.29,US Dollar,ACH,0,1
2022/09/01 00:20,28255,80DBB0740,130596,80DBB4230,2108.4,US Dollar,2108.4,US Dollar,ACH,0,1
2022/09/01 00:03,70,100428660,113798,80DC756E0,13171425.53,US Dollar,13171425.53,US Dollar,Cheque,1,1
2022/09/01 00:19,123997,8091CA720,232880,80DFECB70,14997.91,US Dollar,14997.91,US Dollar,ACH,0,1
2022/09/01 00:26,14099,8023E1BD0,17907,80E09FC10,3479.08,US Dollar,3479.08,US Dollar,ACH,0,1
2022/09/01 00:21,223233,80BD79D20,231004,80E0F9F60,12415.22,US Dollar,12415.22,US Dollar,ACH,0,1
2022/09/01 00:23,2843,80C9083E0,1362,80E1AC940,18420.46,US Dollar,18420.46,US Dollar,ACH,0,1
2022/09/01 00:23,70,100428660,32375,80E480620,14288.83,US Dollar,14288.83,US Dollar,Cash,1,1
2022/09/01 00:14,16136,803A2BD00,226041,80EC29260,14386.91,US Dollar,14386.91,US Dollar,ACH,0,1
2022/09/01 00:14,12359,8095F1A70,19535,80ED0D260,42125.3,US Dollar,42125.3,US Dollar,ACH,0,1
2022/09/01 00:27,29251,805DEAB80,17907,80ED21E00,1755.02,US Dollar,1755.02,US Dollar,ACH,0,1
2022/09/01 00:00,70,100428660,1853,80F255000,6362.83,US Dollar,6362.83,US Dollar,Cheque,0,1
2022/09/01 00:08,132306,80F2D45D0,10642,80F2D4620,3257.2,US Dollar,3257.2,US Dollar,ACH,0,1
2022/09/01 00:26,1292,8022D1FD0,137273,80F2F4C40,14510.22,US Dollar,14510.22,US Dollar,ACH,0,1
2022/09/01 00:07,22828,80FED5960,117299,80FED5B30,14209.0,US Dollar,14209.0,US Dollar,ACH,0,1
2022/09/01 00:10,129470,810F82E80,136973,810F83100,1780.0,US Dollar,1780.0,US Dollar,ACH,0,1
2022/09/01 00:04,30775,80B800BD0,229089,8110B26E0,3527.75,US Dollar,3527.75,US Dollar,ACH,0,1
2022/09/01 00:11,27564,8031F57C0,35684,811133D40,16257.5,US Dollar,16257.5,US Dollar,ACH,0,1
2022/09/01 00:20,36667,811169570,28771,811169B70,19081.26,US Dollar,19081.26,US Dollar,ACH,0,1
2022/09/01 00:08,132722,8113449A0,32738,811343420,1697.0,US Dollar,1697.0,US Dollar,ACH,0,1
2022/09/01 00:13,123390,809F84A30,138630,81146C0A0,14134.25,US Dollar,14134.25,US Dollar,ACH,0,1
2022/09/01 00:10,115700,807D1E1A0,21258,811A5F9E0,2800.17,US Dollar,2800.17,US Dollar,ACH,0,1
2022/09/01 00:27,211075,80A15DD10,226657,811E0E110,5043.09,US Dollar,5043.09,US Dollar,ACH,0,1
2022/09/01 00:07,137446,811E6F360,21174,811E6FAE0,1225.0,US Dollar,1225.0,US Dollar,ACH,0,1
2022/09/01 00:05,215841,810E3DA30,16224,812DCCC30,8820.05,US Dollar,8820.05,US Dollar,ACH,0,1
2022/09/01 00:01,130449,80FF3FA10,16586,812EB52A0,72509.79,US Dollar,72509.79,US Dollar,ACH,0,1
2022/09/01 00:14,27564,813051AD0,136110,81303F5A0,2568.44,US Dollar,2568.44,US Dollar,ACH,0,1
2022/09/01 00:17,70,100428660,152980,8140702D0,6892.43,US Dollar,6892.43,US Dollar,Credit Card,1,1
2022/09/01 00:09,25075,81437E7B0,116715,81437E940,2475.0,US Dollar,2475.0,US Dollar,ACH,0,1
2022/09/01 00:19,35409,8146A6CF0,40188,8146A5FE0,19451.61,US Dollar,19451.61,US Dollar,ACH,0,1
2022/09/01 00:07,14433,8052CFD90,11030,81478C7B0,1300.1,US Dollar,1300.1,US Dollar,ACH,0,1
2022/09/01 00:11,3318,800315770,22,800314E10,13812.15,Euro,13812.15,Euro,ACH,0,1
2022/09/01 00:18,3664,8006CEA90,1024,8006CE860,16687.05,Euro,16687.05,Euro,ACH,0,1
2022/09/01 00:14,23,8007927F0,1024,8009D0DA0,25150.48,Euro,25150.48,Euro,ACH,0,1
2022/09/01 00:28,11,800573980,410,800CEC320,10932.34,Euro,10932.34,Euro,ACH,0,1
2022/09/01 00:03,23,800283390,11,800E03340,6552.57,Euro,6552.57,Euro,ACH,0,1
2022/09/01 00:25,410,8005E5DD0,11,8016D09D0,13509.47,Euro,13509.47,Euro,ACH,0,1
2022/09/01 00:04,11852,80117E5C0,3045,8016EC250,9449.18,Euro,9449.18,Euro,ACH,0,1
2022/09/01 00:27,33826,80189D530,13345,80189D4E0,842.51,Euro,842.51,Euro,ACH,0,1
2022/09/01 00:11,31999,8018C31B0,12963,8018BDB80,684.79,Euro,684.79,Euro,ACH,0,1
2022/09/01 00:14,34795,801C725E0,1024,801C6FB50,9409.81,Euro,9409.81,Euro,ACH,0,1
2022/09/01 00:28,35247,801F281A0,1522,801F30DA0,4373.74,Euro,4373.74,Euro,ACH,0,1
2022/09/01 00:05,2915,8007E41C0,3655,802179650,3640.6,Euro,3640.6,Euro,ACH,0,1
2022/09/01 00:07,410,800384910,13862,80256A670,12113.95,Euro,12113.95,Euro,ACH,0,1
2022/09/01 00:06,21174,800737690,12,80011F990,2848.96,Euro,2848.96,Euro,ACH,1,1
2022/09/01 09:56,21174,800737690,220,8007A5B70,5738987.96,US Dollar,5738987.96,US Dollar,ACH,1,1
2022/09/01 11:28,21174,800737690,1244,80093C0D0,7254.53,US Dollar,7254.53,US Dollar,ACH,1,1
2022/09/01 13:13,21174,800737690,513,80078E200,6990.87,US Dollar,6990.87,US Dollar,ACH,1,1
2022/09/01 14:11,21174,800737690,20,80066B990,12536.92,Euro,12536.92,Euro,ACH,1,1
2022/09/02 21:23,21174,800737690,1292,8004030A0,16135.09,US Dollar,16135.09,US Dollar,ACH,1,1
2022/09/02 23:10,21174,800737690,1601,800578800,12183.28,US Dollar,12183.28,US Dollar,ACH,1,1
2022/09/03 09:29,21174,800737690,1,800AAF0B0,15197.45,US Dollar,15197.45,US Dollar,ACH,1,1
2022/09/03 14:22,21174,800737690,1420,8006FB970,4717.76,US Dollar,4717.76,US Dollar,ACH,1,1
2022/09/04 07:35,21174,800737690,10,800449990,19332.59,US Dollar,19332.59,US Dollar,ACH,1,1
2022/09/04 09:10,21174,800737690,11852,800AEBA90,300.93,Euro,300.93,Euro,ACH,1,1
2022/09/04 12:03,21174,800737690,10,800692550,2724.99,US Dollar,2724.99,US Dollar,ACH,1,1
2022/09/04 15:48,21174,800737690,11056,8007486D0,15224.53,Euro,15224.53,Euro,ACH,1,1
2022/09/01 00:28,36589,8026DCB30,2591,8026DC860,4371.78,Euro,4371.78,Euro,ACH,0,1
2022/09/01 00:24,16388,802732E60,6030,802732F00,22781884.0,Euro,22781884.0,Euro,ACH,0,1
2022/09/01 00:02,12963,802A98CB0,4259,802D617A0,3053460.11,Euro,3053460.11,Euro,ACH,0,1
2022/09/01 00:11,24963,8041C4CE0,14011,8041C49C0,847.98,Euro,847.98,Euro,ACH,0,1
2022/09/01 00:04,27217,8048DA320,23344,8048DA0B0,289.0,Euro,289.0,Euro,ACH,0,1
2022/09/01 00:25,36017,805071CA0,13858,805071CF0,821.2,Euro,821.2,Euro,ACH,0,1
2022/09/01 00:25,28629,803E8DDF0,11657,8056D9260,1366.84,Euro,1366.84,Euro,ACH,0,1
2022/09/01 00:13,39044,805EFB740,15643,805EFBE20,12560.1,Euro,12560.1,Euro,ACH,0,1
2022/09/01 00:01,3664,806958980,16431,806963B50,15291.49,Euro,15291.49,Euro,ACH,0,1
2022/09/01 00:22,21387,8028D9A50,15010,8077C72F0,22153732.99,Euro,22153732.99,Euro,ACH,0,1
2022/09/01 00:24,3271,8078D7610,21749,8078D6D50,9503.96,Euro,9503.96,Euro,ACH,0,1
2022/09/01 00:18,1299,807A92310,27241,808047240,135377.14,Euro,135377.14,Euro,Cash,0,1
2022/09/01 00:17,1547,801EB1E30,18049,8081855A0,11681.37,Euro,11681.37,Euro,ACH,0,1
2022/09/01 00:26,27920,808A4C8A0,217959,808A4C9E0,3579.0,Euro,3579.0,Euro,ACH,0,1
2022/09/01 00:01,23525,801549EE0,13083,808BB1C00,14704.39,Euro,14704.39,Euro,ACH,0,1
2022/09/01 00:04,39259,80937D190,28629,80937CEC0,5697.6,Euro,5697.6,Euro,ACH,0,1
2022/09/01 00:26,31333,8093B8950,221279,8093B6020,15322.89,Euro,15322.89,Euro,ACH,0,1
2022/09/01 00:29,22,8008A8BE0,26860,809439A10,2169.53,Euro,2169.53,Euro,ACH,0,1
2022/09/01 00:07,112354,80A089DD0,123308,80A232B30,5414.67,Euro,5414.67,Euro,ACH,0,1
2022/09/01 00:23,117907,80A668060,1916,80A667FC0,1117.0,Euro,1117.0,Euro,ACH,0,1
2022/09/01 00:18,34146,80AA0B460,117733,80AA0AB40,5928.38,Euro,5928.38,Euro,ACH,0,1
2022/09/01 00:09,210431,80AEB3780,27920,80AEB3D20,1632.02,Euro,1632.02,Euro,ACH,0,1
2022/09/01 00:00,31999,80AEF4CA0,29814,80AEF4AC0,9338.02,Euro,9338.02,Euro,ACH,0,1
2022/09/01 00:09,70,1004286A8,27535,80B4EC7C0,2514.73,Euro,2514.73,Euro,Cash,0,1
2022/09/01 00:12,23344,80439BE20,31149,80B6B1850,8164.78,Euro,8164.78,Euro,ACH,0,1
2022/09/01 00:10,1522,80B9C1A10,25309,80B9C4C80,4126.0,Euro,4126.0,Euro,ACH,0,1
2022/09/01 00:00,218267,80736FC40,16388,80B9CF5C0,13039.6,Euro,13039.6,Euro,ACH,0,1
2022/09/01 00:15,70,1004286A8,224555,80BFA3390,1860.06,Euro,1860.06,Euro,Credit Card,0,1
2022/09/01 00:11,3335,802A404E0,120519,80C637A10,1621.06,Euro,1621.06,Euro,ACH,0,1
2022/09/01 00:03,13858,8072EFA80,219805,80C637DB0,3174.54,Euro,3174.54,Euro,ACH,0,1
2022/09/01 00:21,15643,8085BB230,30850,80D42A0A0,9883.89,Euro,9883.89,Euro,ACH,0,1
2022/09/01 00:27,26463,805B423C0,120511,80E6C9C30,6386.85,Euro,6386.85,Euro,ACH,0,1
2022/09/01 00:16,231212,80EC16310,226350,80EBE6B50,1629.0,Euro,1629.0,Euro,ACH,0,1
2022/09/01 00:24,6625,8069903E0,13345,80ED50F10,12701.89,Euro,12701.89,Euro,ACH,0,1
2022/09/01 00:08,5329,8024F1130,6052,8110C7F80,924827259.85,Euro,924827259.85,Euro,ACH,0,1
2022/09/01 00:15,28627,81277C670,24963,81277B810,1035.0,Euro,1035.0,Euro,ACH,0,1
2022/09/01 00:22,251027,812C31F60,220888,812C31E70,1977.0,Euro,1977.0,Euro,ACH,0,1
2022/09/01 00:01,246894,812ECEDC0,27402,812DB4E80,2661.0,Euro,2661.0,Euro,ACH,0,1
2022/09/01 00:04,219805,80ABCB470,31144,81318DBD0,8490.11,Euro,8490.11,Euro,ACH,0,1
2022/09/01 00:20,117733,81321B200,5328,81321B250,285.0,Euro,285.0,Euro,ACH,0,1
2022/09/01 00:24,18460,806719CA0,27365,81339BB30,16589.32,Euro,16589.32,Euro,ACH,0,1
2022/09/01 00:00,10060,803DAB5E0,19925,803ED90F0,1575413.6,Yen,1575413.6,Yen,ACH,0,1
2022/09/01 00:09,70,100428738,10656,8044072A0,37080124.05,Yen,37080124.05,Yen,Cheque,1,1
2022/09/01 00:24,14766,8056975B0,114590,8056B8570,1471381.2,Rupee,1471381.2,Rupee,ACH,0,1
2022/09/01 00:16,16,8047A4670,12,8056C4050,4419.28,Rupee,4419.28,Rupee,ACH,0,1
2022/09/01 00:24,13659,805864F40,114202,805D7BA00,22501044.57,Rupee,22501044.57,Rupee,ACH,0,1
2022/09/01 00:16,10,8060F09B0,16792,8061CD8C0,3586769.0,Ruble,3586769.0,Ruble,ACH,0,1
2022/09/01 00:07,287,8061B3E90,10,806D79B20,176210.4,Ruble,176210.4,Ruble,ACH,0,1
2022/09/01 00:20,117435,806FCADB0,116781,806FCAF90,167497.0,Ruble,167497.0,Ruble,ACH,0,1
2022/09/01 00:03,16787,80610A5B0,117304,8070235B0,5417976845.94,Ruble,5417976845.94,Ruble,ACH,0,1
2022/09/01 00:12,220541,8076CCA00,7,8080F0210,12310.66,UK Pound,12310.66,UK Pound,ACH,0,1
2022/09/01 00:10,122047,8083ECD40,222268,808B4FB00,679.95,UK Pound,679.95,UK Pound,ACH,0,1
2022/09/01 00:03,70,100428810,23886,808C512E0,2643.16,UK Pound,2643.16,UK Pound,Cheque,0,1
2022/09/01 00:18,23501,808DDE6E0,222268,808DDF140,7185.25,UK Pound,7185.25,UK Pound,ACH,0,1
2022/09/01 00:08,26,80AA97D50,224716,80AA97460,2011.0,UK Pound,2011.0,UK Pound,ACH,0,1
2022/09/01 00:19,121987,80840DF90,249531,8137D9BD0,4689.68,UK Pound,4689.68,UK Pound,ACH,0,1
2022/09/01 00:11,213,8090D2340,25534,80950D8C0,7297.92,Canadian Dollar,7297.92,Canadian Dollar,ACH,0,1
2022/09/01 00:02,24922,8096D46C0,122055,8096BF030,16900875.0,Canadian Dollar,16900875.0,Canadian Dollar,ACH,0,1
2022/09/01 00:07,6,80A1FBBC0,15,80A2C4080,22100.71,Australian Dollar,22100.71,Australian Dollar,ACH,0,1
2022/09/01 00:22,18200,803954090,28416,80A5B6010,990.44,Australian Dollar,990.44,Australian Dollar,ACH,0,1
2022/09/01 00:02,70,1004288E8,1132,80A4415D0,24.37,Mexican Peso,24.37,Mexican Peso,Cash,0,1
2022/09/01 00:04,133686,80C730A10,133471,80C7405F0,34789.0,Mexican Peso,34789.0,Mexican Peso,ACH,0,1
2022/09/01 00:11,211,8000C1BD0,10,80CE23CE0,237.49,Brazil Real,237.49,Brazil Real,ACH,0,1
2022/09/01 00:08,115,80CE3D440,115,80CF6E380,213227.45,Brazil Real,213227.45,Brazil Real,Cash,0,1
2022/09/01 00:21,135034,80CF636B0,235580,80CF745D0,22354.0,Brazil Real,22354.0,Brazil Real,ACH,0,1
2022/09/01 00:27,112,80DBD6C21,238845,80E199FA1,3.91201,Bitcoin,3.91201,Bitcoin,Bitcoin,0,1
2022/09/01 00:19,240018,80EE99BD0,39668,80EE97840,46546.0,Swiss Franc,46546.0,Swiss Franc,ACH,0,1
2022/09/01 00:18,239453,80E8669B0,40836,80F124880,48428.26,Swiss Franc,48428.26,Swiss Franc,ACH,0,1
2022/09/01 00:23,22164,801C0B400,240229,80F709480,4005.78,Swiss Franc,4005.78,Swiss Franc,ACH,0,1
2022/09/01 00:20,41407,80F880B10,241657,80F8837F0,56108.0,Swiss Franc,56108.0,Swiss Franc,ACH,0,1
2022/09/01 00:20,70,100428978,141312,80FC59DE0,56042.84,Swiss Franc,56042.84,Swiss Franc,Cheque,1,1
2022/09/01 00:19,138395,80FCB2680,141166,80FCB1140,1517.0,Swiss Franc,1517.0,Swiss Franc,ACH,0,1
2022/09/01 00:19,70,1004289C0,43049,80FDBE970,1093.68,Shekel,1093.68,Shekel,Cheque,0,1
2022/09/01 00:14,46616,81138DBE0,144225,8117AC300,139169.97,Shekel,139169.97,Shekel,ACH,0,1
2022/09/01 00:18,121,8119FD5C0,121,811A4B0C0,41857.2,Saudi Riyal,41857.2,Saudi Riyal,ACH,0,1
2022/09/01 00:05,48681,811EE4B60,121,811EF9D90,6114.0,Saudi Riyal,6114.0,Saudi Riyal,ACH,0,1
2022/09/01 00:17,48211,811C40350,48681,811FDE470,46866.99,Saudi Riyal,46866.99,Saudi Riyal,ACH,0,1
2022/09/01 00:10,148348,8123635C0,49365,812363700,372832512.0,Saudi Riyal,372832512.0,Saudi Riyal,ACH,0,1
2022/09/01 00:08,48795,81236A750,48211,811EA7150,47354.0,Saudi Riyal,47354.0,Saudi Riyal,ACH,0,1
2022/09/01 00:15,48681,8127D1AA0,148389,8127D6A30,1177.0,Saudi Riyal,1177.0,Saudi Riyal,ACH,0,1
2022/09/01 00:25,118,8127EA1B0,50202,8127D9D40,19658.44,Saudi Riyal,19658.44,Saudi Riyal,ACH,0,1
2022/09/01 00:03,1467,8013C4030,20,80BC62F10,58702.1,Yuan,58702.1,Yuan,ACH,1,1
2022/09/01 02:52,20,80BC62F10,240229,80F025640,7332.87,Swiss Franc,7332.87,Swiss Franc,ACH,1,1
2022/09/02 08:44,240229,80F025640,217,80FD27570,26443.7,Shekel,26443.7,Shekel,ACH,1,1
2022/09/02 12:29,217,80FD27570,24856,8090E8EB0,10621.24,Canadian Dollar,10621.24,Canadian Dollar,ACH,1,1
2022/09/03 10:20,24856,8090E8EB0,71,804ABCE90,637140.6,Rupee,637140.6,Rupee,ACH,1,1
2022/09/03 12:08,71,804ABCE90,213737,805494C30,621578.18,Rupee,621578.18,Rupee,ACH,1,1
2022/09/03 13:24,213737,805494C30,14290,801B949C0,7222.58,Euro,7222.58,Euro,ACH,1,1
2022/09/04 09:44,10057,803DE1580,28628,80ACEE280,11364.12,Australian Dollar,11364.12,Australian Dollar,ACH,1,1
2022/09/04 15:51,28628,80ACEE280,1467,8013C4030,7945.55,US Dollar,7945.55,US Dollar,ACH,1,1
2022/09/01 00:18,148389,812A7FD10,148016,812A7A1E0,804.0,Saudi Riyal,804.0,Saudi Riyal,ACH,0,1
2022/09/01 00:27,50528,812AB3B00,50202,812D129C0,1811135.98,Saudi Riyal,1811135.98,Saudi Riyal,ACH,0,1
2022/09/01 00:16,48795,812831E10,150240,812D18F10,899.32,Saudi Riyal,899.32,Saudi Riyal,ACH,0,1
2022/09/01 00:04,119,811C597B0,48309,811C599A0,34254.65,Saudi Riyal,34254.65,Saudi Riyal,ACH,1,1
2022/09/01 19:27,150240,812D22980,48309,811C599A0,5971.98,Saudi Riyal,5971.98,Saudi Riyal,ACH,1,1
2022/09/04 05:06,222,811B83280,48309,811C599A0,50445.58,Saudi Riyal,50445.58,Saudi Riyal,ACH,1,1
2022/09/04 05:03,48309,811C599A0,48309,811C599A0,48649.42,Saudi Riyal,48649.42,Saudi Riyal,ACH,1,1
2022/09/04 14:59,48309,811C599A0,119,811C597B0,64379.45,Saudi Riyal,64379.45,Saudi Riyal,ACH,1,1
2022/09/01 00:21,124,813C23DD1,124,813C23DD1,0.304434,Bitcoin,0.304434,Bitcoin,Bitcoin,0,1
2022/09/01 00:14,70,100428A51,152627,813DF2FE1,10.248727,Bitcoin,10.248727,Bitcoin,Bitcoin,0,1
2022/09/01 00:09,70,100428A51,153827,813EC54B1,0.023354,Bitcoin,0.023354,Bitcoin,Bitcoin,0,1
2022/09/01 00:23,70,100428A51,154043,8140BE7C1,0.010153,Bitcoin,0.010153,Bitcoin,Bitcoin,0,1
2022/09/01 00:14,70,100428A51,54642,8143A45B1,16.3669,Bitcoin,16.3669,Bitcoin,Bitcoin,0,1
2022/09/01 00:22,154148,814640F01,254958,8146532E1,0.253127,Bitcoin,0.253127,Bitcoin,Bitcoin,0,1
2022/09/01 00:48,21611,80511A010,13145,805119390,4046.71,US Dollar,4046.71,US Dollar,ACH,0,1
2022/09/01 00:47,14549,80510CD60,13145,805119390,1333.07,US Dollar,1333.07,US Dollar,ACH,0,1
2022/09/01 00:31,111443,804F5FA50,6010,80AE6D0A0,15968.63,US Dollar,15968.63,US Dollar,ACH,0,1
2022/09/01 00:49,143508,8127331A0,250508,8127332E0,4913.3,US Dollar,4913.3,US Dollar,ACH,1,1
2022/09/01 00:31,14663,803D27A50,24811,8034B3050,4388.09,Euro,4388.09,Euro,ACH,0,1
2022/09/01 00:35,24811,80222CA80,28627,811A5D980,19570.86,Euro,19570.86,Euro,ACH,0,1
2022/09/01 00:33,21387,811B12170,21387,811B121C0,3259.18,Euro,3259.18,Euro,ACH,1,1
2022/09/01 00:39,18097,807507390,18200,8075086A0,9430.06,Yuan,9430.06,Yuan,ACH,1,1
2022/09/01 00:36,5627,8036EB620,222819,808DAC710,3574.85,UK Pound,3574.85,UK Pound,ACH,0,1
2022/09/01 00:39,6,80A50D000,127999,80A50D050,5832.84,Australian Dollar,5832.84,Australian Dollar,ACH,1,1
2022/09/01 00:57,133686,80C734F80,133471,80C7351B0,37389.78,Mexican Peso,37389.78,Mexican Peso,ACH,1,1
2022/09/01 00:30,40312,80FC9F580,241079,80FC9F4E0,4058.0,Swiss Franc,4058.0,Swiss Franc,ACH,0,1
2022/09/02 12:36,223,8000DD890,40312,80F52D550,14153.46,Swiss Franc,14153.46,Swiss Franc,ACH,1,1
2022/09/03 19:52,40312,80F52D550,23370,80BEA98A0,11975.53,UK Pound,11975.53,UK Pound,ACH,1,1
2022/09/01 10:19,18617,8038D3520,24482,801C0F2B0,13712.96,Euro,13712.96,Euro,ACH,1,1
2022/09/03 05:06,24482,801C0F2B0,214,80C1B9E20,333126.09,Mexican Peso,333126.09,Mexican Peso,ACH,1,1
2022/09/01 09:22,40836,80F6B88B0,16606,8064545E0,11800.69,US Dollar,11800.69,US Dollar,ACH,1,1
2022/09/03 08:27,16606,8064545E0,2454,80662A070,12331.0,US Dollar,12331.0,US Dollar,ACH,1,1
2022/09/02 07:21,21749,8014BDC90,214050,80537F610,317448.19,Rupee,317448.19,Rupee,ACH,1,1
2022/09/01 15:05,23842,80195DE20,2845,801E2BC20,277.59,US Dollar,277.59,US Dollar,ACH,1,1
2022/09/04 09:31,2845,801E2BC20,220504,807E97240,230.27,UK Pound,230.27,UK Pound,ACH,1,1
2022/09/01 14:28,10,8009CF210,11318,8011AB110,11964.97,US Dollar,11964.97,US Dollar,ACH,1,1
2022/09/03 09:33,11318,8011AB110,28255,806C7CF80,11521.43,US Dollar,11521.43,US Dollar,ACH,1,1
